Source,Target,Type
UCdVBgc7_SaLvkkf94GGrQtw,UCLYj5m1_Z16_2dQfINKmi3Q,Directed
UCdVBgc7_SaLvkkf94GGrQtw,UCx-_VqUm2Lj1GJjNBLRUS2Q,Directed
UCdVBgc7_SaLvkkf94GGrQtw,UCUiXbkWQPwr7CBVJOFktYzg,Directed
UCdVBgc7_SaLvkkf94GGrQtw,UC5_cOGjJLcGtAReRVqNctKw,Directed
UCdVBgc7_SaLvkkf94GGrQtw,UCz53e-ZYQXb91S_UuRRvWWA,Directed
UCdVBgc7_SaLvkkf94GGrQtw,UC0F6VfbgpxEUiulohFrKGcw,Directed
UCdVBgc7_SaLvkkf94GGrQtw,UCLErMKr6xn8Vj9LEcRwNPNA,Directed
UCdVBgc7_SaLvkkf94GGrQtw,UCfGpiZatn2kcw8wTmakU7Ng,Directed
UCdVBgc7_SaLvkkf94GGrQtw,UCEmy9PSZsuKouJlsurRzC1A,Directed
UCz53e-ZYQXb91S_UuRRvWWA,UCyS-VOHB3LddD700hP0XtmA,Directed
UCUiXbkWQPwr7CBVJOFktYzg,UCYhH65nE2M8rGwMWvAlVu2A,Directed
UCUiXbkWQPwr7CBVJOFktYzg,UCsV_xDVe9DUY7xXq0rezB9g,Directed
UCUiXbkWQPwr7CBVJOFktYzg,UCx-_VqUm2Lj1GJjNBLRUS2Q,Directed
UCpH39b2-3Qr7HmpJw7PejLQ,UCsV_xDVe9DUY7xXq0rezB9g,Directed
UCpH39b2-3Qr7HmpJw7PejLQ,UCQXxfC5_Wvlx-eywB9EmaMw,Directed
UCpH39b2-3Qr7HmpJw7PejLQ,UCYhH65nE2M8rGwMWvAlVu2A,Directed
UCpH39b2-3Qr7HmpJw7PejLQ,UCx-_VqUm2Lj1GJjNBLRUS2Q,Directed
UCpH39b2-3Qr7HmpJw7PejLQ,UC0F6VfbgpxEUiulohFrKGcw,Directed
UCpH39b2-3Qr7HmpJw7PejLQ,UCUiXbkWQPwr7CBVJOFktYzg,Directed
UCpH39b2-3Qr7HmpJw7PejLQ,UCz53e-ZYQXb91S_UuRRvWWA,Directed
UCpH39b2-3Qr7HmpJw7PejLQ,UCdVBgc7_SaLvkkf94GGrQtw,Directed
UCpH39b2-3Qr7HmpJw7PejLQ,UCUvn6Rx9RA__wXipJII3h_Q,Directed
UCpH39b2-3Qr7HmpJw7PejLQ,UC5_cOGjJLcGtAReRVqNctKw,Directed
UCpH39b2-3Qr7HmpJw7PejLQ,UCrcUVClFXzwDOK626La8cgw,Directed
UCpH39b2-3Qr7HmpJw7PejLQ,UC1KjWRBCUGvxDkrhu_-UBWg,Directed
UC1KjWRBCUGvxDkrhu_-UBWg,UCQXxfC5_Wvlx-eywB9EmaMw,Directed
UC1KjWRBCUGvxDkrhu_-UBWg,UCYhH65nE2M8rGwMWvAlVu2A,Directed
UC1KjWRBCUGvxDkrhu_-UBWg,UCx-_VqUm2Lj1GJjNBLRUS2Q,Directed
UC1KjWRBCUGvxDkrhu_-UBWg,UCsV_xDVe9DUY7xXq0rezB9g,Directed
UC1KjWRBCUGvxDkrhu_-UBWg,UCz9MCy8ZEm74MvBCGJKK0dA,Directed
UC1KjWRBCUGvxDkrhu_-UBWg,UCpH39b2-3Qr7HmpJw7PejLQ,Directed
UC1KjWRBCUGvxDkrhu_-UBWg,UCz8QOKvQ0WW476fCehHiS1A,Directed
UC1KjWRBCUGvxDkrhu_-UBWg,UCNzIt2rpwadPI7p94XvLkuA,Directed
UC1KjWRBCUGvxDkrhu_-UBWg,UCiIPiiSSWfLEztgkK0M4uNg,Directed
UC1KjWRBCUGvxDkrhu_-UBWg,UCrcUVClFXzwDOK626La8cgw,Directed
UC1KjWRBCUGvxDkrhu_-UBWg,UCvmkLmnIN-Z0HJEObrlIcdg,Directed
UC1KjWRBCUGvxDkrhu_-UBWg,UC6yShigZ31iFqQUAj8QEFvQ,Directed
UC1KjWRBCUGvxDkrhu_-UBWg,UCthUKUdCLSe0P-wyVLE9XeQ,Directed
UCrcUVClFXzwDOK626La8cgw,UCQXxfC5_Wvlx-eywB9EmaMw,Directed
UCrcUVClFXzwDOK626La8cgw,UCYhH65nE2M8rGwMWvAlVu2A,Directed
UCrcUVClFXzwDOK626La8cgw,UCx-_VqUm2Lj1GJjNBLRUS2Q,Directed
UCrcUVClFXzwDOK626La8cgw,UCsV_xDVe9DUY7xXq0rezB9g,Directed
UCrcUVClFXzwDOK626La8cgw,UC1KjWRBCUGvxDkrhu_-UBWg,Directed
UCrcUVClFXzwDOK626La8cgw,UCUiXbkWQPwr7CBVJOFktYzg,Directed
UCrcUVClFXzwDOK626La8cgw,UC0F6VfbgpxEUiulohFrKGcw,Directed
UCrcUVClFXzwDOK626La8cgw,UC5_cOGjJLcGtAReRVqNctKw,Directed
UCrcUVClFXzwDOK626La8cgw,UCpH39b2-3Qr7HmpJw7PejLQ,Directed
UCrcUVClFXzwDOK626La8cgw,UCUvn6Rx9RA__wXipJII3h_Q,Directed
UCrcUVClFXzwDOK626La8cgw,UCz53e-ZYQXb91S_UuRRvWWA,Directed
UCrcUVClFXzwDOK626La8cgw,UCdVBgc7_SaLvkkf94GGrQtw,Directed
UCrcUVClFXzwDOK626La8cgw,UCLYj5m1_Z16_2dQfINKmi3Q,Directed
UC0F6VfbgpxEUiulohFrKGcw,UC6nSFpj9HTCZ5t-N3Rm3-HA,Directed
UC0F6VfbgpxEUiulohFrKGcw,UCeQEKFH31vvD-InkTGSvCrA,Directed
UC0F6VfbgpxEUiulohFrKGcw,UCTwi6wQYhnSWpMgJA4d3sdw,Directed
UC0F6VfbgpxEUiulohFrKGcw,UCoxcjq-8xIDTYp3uz647V5A,Directed
UC0F6VfbgpxEUiulohFrKGcw,UCDom90xOqP4avehFjSJO6NA,Directed
UC0F6VfbgpxEUiulohFrKGcw,UC6107grRI4m0o2-emgoDnAA,Directed
UC0F6VfbgpxEUiulohFrKGcw,UCGi_crMdUZnrcsvkCa8pt-g,Directed
UC0F6VfbgpxEUiulohFrKGcw,UC2LZO6swZ9SLUEOks3WnsfA,Directed
UC0F6VfbgpxEUiulohFrKGcw,UCUK0HBIBWgM2c4vsPhkYY4w,Directed
UC0F6VfbgpxEUiulohFrKGcw,UCHnyfMqiRRG1u-2MsSQLbXA,Directed
UC0F6VfbgpxEUiulohFrKGcw,UCvGMGQC8gNkd4gwxSbABIlw,Directed
UC0F6VfbgpxEUiulohFrKGcw,UCOGeU-1Fig3rrDjhm9Zs_wg,Directed
UC0F6VfbgpxEUiulohFrKGcw,UC2C_jShtL725hvbm1arSV9w,Directed
UC0F6VfbgpxEUiulohFrKGcw,UCUHW94eEFW7hkUMVaZz4eDg,Directed
UC0F6VfbgpxEUiulohFrKGcw,UCC552Sd-3nyi_tk2BudLUzA,Directed
UC0F6VfbgpxEUiulohFrKGcw,UC4a-Gbdw7vOaccHmFo40b9g,Directed
UC0F6VfbgpxEUiulohFrKGcw,UCiOkLGlj4azqep3O_J0wLkw,Directed
UC0F6VfbgpxEUiulohFrKGcw,UCGaVdbSav8xWuFWTadK6loA,Directed
UCfGpiZatn2kcw8wTmakU7Ng,UCQXxfC5_Wvlx-eywB9EmaMw,Directed
UCfGpiZatn2kcw8wTmakU7Ng,UCYhH65nE2M8rGwMWvAlVu2A,Directed
UCfGpiZatn2kcw8wTmakU7Ng,UCsV_xDVe9DUY7xXq0rezB9g,Directed
UCfGpiZatn2kcw8wTmakU7Ng,UCHnyfMqiRRG1u-2MsSQLbXA,Directed
UCfGpiZatn2kcw8wTmakU7Ng,UCUHW94eEFW7hkUMVaZz4eDg,Directed
UCaKcxkbifcCNfT0YWHS_jfg,UClTKA4g2BdD2THYNJp1DMqA,Directed
UCaKcxkbifcCNfT0YWHS_jfg,UC07-dOwgza1IguKA86jqxNA,Directed
UCaKcxkbifcCNfT0YWHS_jfg,UCiMg06DjcUk5FRiM3g5sqoQ,Directed
UCaKcxkbifcCNfT0YWHS_jfg,UCBqIMmJ53QNXnNkhYNF-AFw,Directed
UCaKcxkbifcCNfT0YWHS_jfg,UCsmqJ7u3r_gTNLmiSvTZ87Q,Directed
UCaKcxkbifcCNfT0YWHS_jfg,UC5t1Dmp9f-vHKyBkV0YDpRA,Directed
UCaKcxkbifcCNfT0YWHS_jfg,UCCdnN4v9Fia0pjUzYlUBsGg,Directed
UCj1vp76vtmOPWmol8VQCVgQ,UCXxuHuBUEtU-EVt_jNC9Psg,Directed
UCj1vp76vtmOPWmol8VQCVgQ,UCd08ZkxIZtrxQcAt3FWr-5A,Directed
UCj1vp76vtmOPWmol8VQCVgQ,UC1ZXhPG1oQQ1rIJDlIXbAAw,Directed
UCj1vp76vtmOPWmol8VQCVgQ,UC5_cOGjJLcGtAReRVqNctKw,Directed
UCj1vp76vtmOPWmol8VQCVgQ,UCVNoiuhM5htUME42ciWqZ6A,Directed
UCj1vp76vtmOPWmol8VQCVgQ,UCUiXbkWQPwr7CBVJOFktYzg,Directed
UC6P43_uL3V_BxSVkolqNYbQ,UCUvn6Rx9RA__wXipJII3h_Q,Directed
UCkzWeBdlOjxC4HgmbyOQblQ,UCWKJAZQ7AU9UzuY8GAcpMew,Directed
UCkzWeBdlOjxC4HgmbyOQblQ,UCJquYOG5EL82sKTfH9aMA9Q,Directed
UCkzWeBdlOjxC4HgmbyOQblQ,UCnkp4xDOwqqJD7sSM3xdUiQ,Directed
UCkzWeBdlOjxC4HgmbyOQblQ,UCTUtqcDkzw7bisadh6AOx5w,Directed
UCkzWeBdlOjxC4HgmbyOQblQ,UCh-PyMficPzVAihCJkFJVAA,Directed
UCkzWeBdlOjxC4HgmbyOQblQ,UCUvn6Rx9RA__wXipJII3h_Q,Directed
UCkzWeBdlOjxC4HgmbyOQblQ,UCy0tKL1T7wFoYcxCe0xjN6Q,Directed
UCkzWeBdlOjxC4HgmbyOQblQ,UC1KjWRBCUGvxDkrhu_-UBWg,Directed
UCkzWeBdlOjxC4HgmbyOQblQ,UCC2qOTfLMBqGkwxBhdRlLMA,Directed
UC6sdbGKkS3oamnjNIoaj6nA,UCx-_VqUm2Lj1GJjNBLRUS2Q,Directed
UC6sdbGKkS3oamnjNIoaj6nA,UCQXxfC5_Wvlx-eywB9EmaMw,Directed
UC6sdbGKkS3oamnjNIoaj6nA,UCsV_xDVe9DUY7xXq0rezB9g,Directed
UC6sdbGKkS3oamnjNIoaj6nA,UCCAeI-ImjUKXh0SC45n7Wvw,Directed
UCNI0qOojpkhsUtaQ4_2NUhQ,UC0-vwPmp-nmu_Huza_nq0AA,Directed
UCNI0qOojpkhsUtaQ4_2NUhQ,UC6jEF1orhgER1Nsc174FwTg,Directed
UCNI0qOojpkhsUtaQ4_2NUhQ,UCnfPOvdkVXD3mlZ0a4EiNjA,Directed
UCNI0qOojpkhsUtaQ4_2NUhQ,UCbp_cl19joUzabi_Qq-qEdg,Directed
UCNI0qOojpkhsUtaQ4_2NUhQ,UC5vHx2rPpI3PITVleKbpfcQ,Directed
UCNI0qOojpkhsUtaQ4_2NUhQ,UCj4fwpXgw-jyiZ4TPAdChbw,Directed
UCNI0qOojpkhsUtaQ4_2NUhQ,UCG-iSMVtWbbwDDXgXXypARQ,Directed
UCNI0qOojpkhsUtaQ4_2NUhQ,UCqud2JSlc2qY0EazWPQl9Ig,Directed
UCesNt4_Z-Pm41RzpAClfVcg,UCOu39JmhrPrPFhEn-hZ9ifw,Directed
UCesNt4_Z-Pm41RzpAClfVcg,UCNI0qOojpkhsUtaQ4_2NUhQ,Directed
UCesNt4_Z-Pm41RzpAClfVcg,UCmoXpGV2ndEPw4qILnhJ6og,Directed
UCsXVk37bltHxD1rDPwtNM8Q,UCwRH985XgMYXQ6NxXDo8npw,Directed
UCsXVk37bltHxD1rDPwtNM8Q,UCZcvCpFcLxOKGbMocVgLjEA,Directed
UCsXVk37bltHxD1rDPwtNM8Q,UCzMHLUJ8xTqDq6xsk0N5IdQ,Directed
UCsXVk37bltHxD1rDPwtNM8Q,UCIR1LQvYrHOWBpOGq5nFo0Q,Directed
UCsXVk37bltHxD1rDPwtNM8Q,UCzw2KK537iRgsrYnWaEMs8Q,Directed
UCsXVk37bltHxD1rDPwtNM8Q,UCCYb8bp7v9maNk5n3nfw-Lg,Directed
UCsXVk37bltHxD1rDPwtNM8Q,UCn5ASYdp7CzbFH2qtqjIJ9w,Directed
UCsXVk37bltHxD1rDPwtNM8Q,UC8rKCy_tipwTEY3RdkNCKmw,Directed
UCyS-VOHB3LddD700hP0XtmA,UCoEAZNXets3kgOay3ztTc5Q,Directed
UCyS-VOHB3LddD700hP0XtmA,UC7eIxHHUPZaD7uREEa8CQ3w,Directed
UCyS-VOHB3LddD700hP0XtmA,UCz53e-ZYQXb91S_UuRRvWWA,Directed
UCyS-VOHB3LddD700hP0XtmA,UCYf3OcCzB2KoE3p9-Z9stMQ,Directed
UCz8QOKvQ0WW476fCehHiS1A,UCp3koBkcAhvBa-98TvmZB2Q,Directed
UCNzIt2rpwadPI7p94XvLkuA,UC1KjWRBCUGvxDkrhu_-UBWg,Directed
UCNzIt2rpwadPI7p94XvLkuA,UC5ftZbVdju762l2VyC171uA,Directed
UCNzIt2rpwadPI7p94XvLkuA,UCiIPiiSSWfLEztgkK0M4uNg,Directed
UCNzIt2rpwadPI7p94XvLkuA,UCeWftFrrogEeTcrUmSpUk6Q,Directed
UCNzIt2rpwadPI7p94XvLkuA,UCna3Qx48izx8ODR0fLMk0hA,Directed
UCNzIt2rpwadPI7p94XvLkuA,UCMgX40BE8NXzYAjwiGy5khg,Directed
UCiIPiiSSWfLEztgkK0M4uNg,UCE0viBl2kEmnAgA0ZU7ozLg,Directed
