Id,Label,isseed,seedrank,subscribercount,videocount,viewcount(100s),country,publishedat,daysactive
UCTghN4pE71SYikcDbbuv5eQ,diefilmfabrik,no,,449000,3584,2701035,DE,2012-10-10T17:13:59Z,4118
UCjujUHQnQDiIbAiY_GGD8zA,So Geht Das,no,,274000,724,672889,DE,2015-01-30T10:41:47Z,3276
UC40LQNV-a2ndsYAX947Wzyw,RageQuit,no,,1510,78,1200,DE,2017-12-01T14:04:44Z,2240
UCCiycy7lffjBkUjxdq-vjLQ,DiagonalViewDE,no,,27600,196,65650,not set,2012-07-24T11:05:31Z,4196
UCg3EZVB7xs--cAg8K4KOF6w,DeinZoo,no,,26300,269,43098,not set,2012-07-24T12:55:24Z,4196
UC4mHPIKWH4LpAu0LT3B3vBQ,AchtungPromis,no,,9190,195,17319,not set,2012-07-24T12:18:43Z,4196
UCeDNDFHGiePy0RxgnCqAnVg,Video Brothers,no,,16900,3,879,PL,2016-04-09T22:23:17Z,2841
UCC-04mW9l7YgJITqX8gYrLw,Jeppe,no,,8470,20,2587,NL,2018-10-29T15:19:49Z,1908
UC31S1sxVEi2hFHXJYXmoe4w,Ponkers,no,,483000,487,1699143,NL,2013-08-30T04:38:50Z,3795
UCSaVoRErW4kqKsDqExs2MXA,SciOne,no,,1280000,391,1145004,AZ,2014-12-19T10:57:17Z,3318
UC4q_Go2upApHnHbI657ZGBA,TrashSmash,no,,443000,61,328640,BY,2011-11-17T14:51:30Z,4446
UCt9SXdrwKnV_4WwRjUmHZsQ,Михаил Лидин,no,,517000,161,1078275,GE,2011-04-03T21:17:37Z,4674
UC8k3ajoQjY3UdPuknZlD1hA,Houdini Prize,no,,14600,37,7536,RU,2015-06-24T18:55:12Z,3131
UC7s9QVemmtcBxuRGHF4HHpQ,SCIENZIATI subito,no,,190000,274,308404,IT,2014-07-25T22:19:59Z,3465
UCOqDAimF4GJwSpcR5w0KjNg,STORICI SUBITO: la STORIA non è mai stata così SEMPLICE,no,,162000,219,334772,IT,2017-06-13T20:40:14Z,2411
UCu4YeDJuJnu7_7OHUkG6LPA,مفتاح الفكر,no,,715000,728,400069,TN,2014-10-30T23:24:44Z,3368
UCAH7rJ_y-y_0Gli4a4oDsJg,اغرب,no,,6150000,1570,9940034,SA,2014-08-07T11:28:25Z,3452
UC8-lXEzwjHzbrVa4heyIQ7w,Hazen | هيزن,no,,377000,73,180810,SA,2016-01-08T17:06:54Z,2933
UCwuFIEiA9j1oaJzzDj1n81w,Zahed Felemban,no,,162000,202,112950,SA,2013-10-13T09:19:22Z,3750
UCIhEu0g2ftHXjmBHL8zXnlA,Vert Dider,no,,188000,94,119403,RU,2015-04-19T17:18:35Z,3197
UCi6vCiJ9u9TURLsLVaiVV8Q,Минутка физики и Минутка Земли,no,,83200,115,72626,RU,2015-10-06T09:21:09Z,3027
UCogrSQkBJn1KF0N9I4oM7eQ,Fraser Cain,no,,410000,1494,648138,CA,2007-09-25T16:11:56Z,5960
UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown,no,,5840000,169,4511991,US,2015-03-03T23:11:55Z,3244
