Id,Label,isseed,seedrank,subscribercount,videocount,viewcount(100s),country,publishedat,daysactive
UCx-_VqUm2Lj1GJjNBLRUS2Q,The Skeptic Theory,yes,1,142000,63,80719,GR,2018-06-05T18:35:38Z,2054
UCYhH65nE2M8rGwMWvAlVu2A,Astronio,no,,299000,110,346536,GR,2017-03-01T16:23:54Z,2515
UCsV_xDVe9DUY7xXq0rezB9g,The Mad Scientist,no,,116000,45,67663,GR,2016-08-14T17:06:54Z,2714
UCQXxfC5_Wvlx-eywB9EmaMw,Καθημερινή Φυσική,no,,275000,66,230644,GR,2015-05-20T12:36:08Z,3166
UCUvn6Rx9RA__wXipJII3h_Q,Science Behind Music,no,,18500,50,5400,GR,2017-06-28T16:08:35Z,2396
UC5_cOGjJLcGtAReRVqNctKw,Human Nature,no,,37300,34,12991,GR,2018-03-21T21:07:20Z,2130
UCdVBgc7_SaLvkkf94GGrQtw,Tech to me About it,no,,16400,25,2396,GR,2019-01-23T11:51:59Z,1822
UCz53e-ZYQXb91S_UuRRvWWA,Smart Chemistry,no,,16100,66,4647,GR,2013-09-13T12:20:18Z,3780
UCUiXbkWQPwr7CBVJOFktYzg,SciTalksGR,no,,36600,27,23217,GR,2017-10-01T19:13:05Z,2301
UCpH39b2-3Qr7HmpJw7PejLQ,IT S JUST PHYSICS by Christos Kiriakidis,no,,86900,161,142282,GR,2021-01-29T10:50:41.027086Z,1085
UC1KjWRBCUGvxDkrhu_-UBWg,Greekonomics,no,,161000,51,84135,GR,2020-05-06T12:51:09.678798Z,1353
UCrcUVClFXzwDOK626La8cgw,MaTh Me Up,no,,11800,38,4320,GR,2020-09-13T09:39:46.4559Z,1223
UCz9MCy8ZEm74MvBCGJKK0dA,Yiannis Sarakatsanis,no,,67400,125,41084,GR,2007-04-17T22:54:34Z,6121
UC0F6VfbgpxEUiulohFrKGcw,Stavros Louverdis,no,,50000,464,67269,GR,2008-04-28T16:58:28Z,5744
UCLYj5m1_Z16_2dQfINKmi3Q,Biotech Guy,no,,10200,16,1806,IT,2018-02-22T17:48:04Z,2157
UCfGpiZatn2kcw8wTmakU7Ng,Rogue Astrophysics,no,,7770,75,1297,GR,2017-10-28T09:36:23Z,2274
UCQ69ob_1gFKdvfoTrppSQPg,Didactics,no,,5750,13,1917,GR,2021-12-22T08:12:22.216525Z,758
UCaKcxkbifcCNfT0YWHS_jfg,Κλινικός Φαρμακοποιός,no,,1740,49,541,GR,2019-10-24T21:09:32.564458Z,1548
UCmsv2_QuaNhyebuiLvZjokQ,ApoStories,no,,3200,37,1224,GR,2022-03-15T09:34:00.198974Z,675
UCj1vp76vtmOPWmol8VQCVgQ,PharmaTalkGR,no,,1060,52,275,GR,2020-01-19T17:21:09.048316Z,1461
UCG2m2RzbxJsU-p0jNiaW6XQ,AcidsLaw,no,,678,10,90,GR,2019-05-11T01:58:08Z,1715
UC6P43_uL3V_BxSVkolqNYbQ,Jan Roussos,no,,430,6,77,GR,2010-09-13T22:32:18Z,4876
UCkzWeBdlOjxC4HgmbyOQblQ,ΕΜΕΝΑ ΡΩΤΑ,no,,4650,90,1817,GR,2019-12-31T16:34:34.131544Z,1480
UC6sdbGKkS3oamnjNIoaj6nA,Wisdom Capital,no,,1390,16,29,GR,2020-05-04T09:03:07.775993Z,1355
UChA2y_DikKJfoVByvsnAu3A,Science FREAKSion,no,,194,6,11,GR,2020-06-07T18:39:38.160942Z,1321
UCNI0qOojpkhsUtaQ4_2NUhQ,Osmosis from Elsevier,no,,3040000,1158,1553922,US,2015-01-21T15:38:24Z,3285
UCesNt4_Z-Pm41RzpAClfVcg,Armando Hasudungan,no,,2490000,548,1857269,AU,2007-12-25T08:05:35Z,5869
UCMRHZcgwdSE_9wbwcP8aRJw,Sam Webster,no,,635000,826,492314,GB,2008-04-03T09:03:11Z,5769
UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,no,,21700000,206,25823736,DE,2013-07-09T20:17:20Z,3846
UCLErMKr6xn8Vj9LEcRwNPNA,Christos Athanasoulis,no,,2550,19,1779,GR,2013-07-04T13:06:39Z,3851
UCEmy9PSZsuKouJlsurRzC1A,Mikeius Official,no,,393000,296,743753,GR,2012-07-11T12:43:05Z,4209
UCyS-VOHB3LddD700hP0XtmA,mathgreece,no,,21600,505,30286,GR,2008-03-01T16:27:10Z,5802
UCz8QOKvQ0WW476fCehHiS1A,PCsteps.gr,no,,200000,910,389755,GR,2015-09-22T23:26:35Z,3041
UCNzIt2rpwadPI7p94XvLkuA,Πρακτική Σκέψη,no,,111000,191,82793,GR,2017-05-13T13:43:05Z,2442
UCiIPiiSSWfLEztgkK0M4uNg,Σκληροί της Ιστορίας,no,,56400,56,41973,GR,2019-06-18T13:17:58Z,1676
UCvmkLmnIN-Z0HJEObrlIcdg,Ioanna Fo,no,,60700,877,75969,GR,2011-08-21T20:55:28Z,4534
